KU166845	calcaratus
KU166844	tokba
KU166822	calcaratus
KU166821	sp
KU166815	plicatus
KU166810	calcaratus
KU166809	tokba
KU560105	cf_dendrobates
KU560020	cf_dendrobates
KU559937	cf_dendrobates
KR827546	mayokoensis
KR827545	mayokoensis
KR827544	horsti
KR827543	horsti
KR827542	horsti
KR827541	horsti
KR827540	horsti
KR827539	horsti
KR827538	horsti
KR827537	horsti
KR827536	horsti
KR827535	horsti
KR827534	horsti
KR827533	horsti
KR827532	horsti
DQ019605	natalensis
DQ019588	natalensis
EU075282	calcaratus
EU075301	ukingensis
EU075300	rungwensis
EU075299	rungwensis
EU075298	rungwensis
EU075297	parvulus
EU075296	parvulus
EU075295	parvulus
EU075294	mababiensis
EU075293	keniensis
EU075292	inexpectatus
EU075291	inexpectatus
EU075290	inexpectatus
EU075289	cf_minutus
EU075288	cf_minutus
EU075287	dendrobates
EU075286	dendrobates
EU075285	cornutus
EU075284	cornutus
EU075283	cornutus
EU075281	calcaratus
EU075280	leveleve
EU075279	leveleve
EU075278	dispar
EU075277	dispar
EU075276	dispar
EU075275	dispar
KF020557	steindachneri
KF020556	steindachneri
KF020555	steindachneri
KF020554	steindachneri
KF020553	steindachneri
KF020552	steindachneri
KF020551	steindachneri
KF020550	steindachneri
KF020549	steindachneri
KF020548	steindachneri
KF020547	steindachneri
KF020546	steindachneri
KF020545	steindachneri
KF020544	steindachneri
KF020543	steindachneri
KF020542	steindachneri
KF020541	steindachneri
KF020540	steindachneri
KF020539	steindachneri
KF020538	ruthbeateae
KF020537	ruthbeateae
KF020536	sp
KF020535	sp
KF020534	sp
KF020533	sp
KF020532	sp
KF020531	sp
KF020530	sp
KF020529	sp
KF020528	sp
KF020527	sp
KF020526	sp
KF020525	sp
KF020524	sp
KF020523	sp
KF020522	sp
KF020521	sp
KF020520	sp
KJ626418	sp
KJ626417	manengoubensis
KJ626416	sp
KJ626415	sp
KJ626414	sp
KJ626413	chukuchuku
KJ626412	chukuchuku
KJ626411	auritus
KJ626410	auritus
KJ626409	auritus
KJ626408	auritus
KJ626407	auritus
KJ626406	auritus
KF693662	africanus
KF693661	auritus
KF693660	calcaratus
KF693382	africanus
KF693381	auritus
KF693380	calcaratus
KF693278	africanus
KF693277	auritus
KF693276	calcaratus
GU732284	werneri
FJ829316	ungujae
FJ829315	ungujae
FJ829305	pakenhami
FJ829304	pakenhami
FJ829294	natalensis
FJ829293	natalensis
FJ829282	mababiensis
FJ829281	mababiensis
FJ829276	krefftii
FJ829275	krefftii
FJ829274	krefftii
FJ829273	krefftii
FJ829256	acridoides
GU732283	sp
GU732282	sp
GU732281	sp
GU457589	villiersi
GU457588	villiersi
GU457586	tokba
GU457585	tokba
GU457584	tokba
GU457583	tokba
GU457582	tokba
GU457581	tokba
GU457580	sp
GU457579	sp
GU457578	sp
GU457577	sandersoni
GU457576	sandersoni
GU457575	plicatus
GU457574	plicatus
GU457573	plicatus
GU457572	plicatus
GU457571	pintoi
GU457570	phyllophilus
GU457569	phyllophilus
GU457568	phyllophilus
GU457567	petropedetoides
GU457566	natalensis
GU457565	natalensis
GU457564	maculiventris
GU457563	maculiventris
GU457562	liberiensis
GU457561	liberiensis
GU457560	liberiensis
GU457559	latifrons
GU457558	intermedius
GU457557	intermedius
GU457556	gutturosus
GU457555	guineensis
GU457554	guineensis
GU457553	ghanensis
GU457552	ghanensis
GU457551	fraterculus
GU457550	fraterculus
GU457548	francisci
GU457547	francisci
GU457546	francisci
GU457545	cornutus
GU457544	cf_uzungwensis
GU457543	cf_hylaois
GU457542	cf_hylaois
GU457541	calcaratus
GU457540	calcaratus
GU457539	calcaratus
GU457538	annulatus
GU457537	annulatus
GU457536	annulatus
GU457531	africanus
GU457530	africanus
GU457529	aff_latifrons
GU457528	aff_latifrons
GU457527	aff_latifrons
GU457526	aff_latifrons
GU457525	aff_latifrons
GU457524	aff_latifrons
GU457523	aff_gutturosus
GU457522	aff_gutturosus
JX564885	keniensis
JX564884	accraensis
FJ769132	auritus
FJ769131	sandersoni
FJ769123	auritus
FJ769122	africanus
FJ769121	africanus
FJ769119	africanus
FJ769118	africanus
FJ769117	africanus
FJ769115	batesii
FJ769114	batesii
FJ769109	manengoubensis
FJ769107	manengoubensis
FJ769106	manengoubensis
FJ769105	sp
FJ769104	sp
FJ769103	sp
FJ769101	cricogaster
FJ769099	steindachneri
FJ769098	steindachneri
FJ769097	steindachneri
FJ769096	steindachneri
FJ769095	steindachneri
FJ769094	steindachneri
FJ769093	steindachneri
FJ769092	steindachneri
FJ769091	steindachneri
FJ769090	steindachneri
FJ769089	steindachneri
FJ769087	steindachneri
FJ769086	steindachneri
FJ769085	steindachneri
FJ769084	steindachneri
FJ769083	steindachneri
JQ954867	rainerguentheri
JQ954866	rainerguentheri
JQ954865	rainerguentheri
JQ954864	rainerguentheri
JQ954863	rainerguentheri
JQ954862	rainerguentheri
JQ954861	rainerguentheri
JQ954860	rainerguentheri
JQ730857	rainerguentheri
JQ711172	batesii
JQ711171	batesii
JQ711170	sp
JQ711169	sp
JQ711168	sp
JQ711167	sp
DQ347059	krefftii
DQ347031	africanus
DQ347012	natalensis
DQ022362	auritus
DQ022361	natalensis
DQ022360	krefftii
DQ022359	cricogaster
DQ022358	acridoides
DQ022356	africanus
AF215400	sp
AF215399	mababiensis
JN813917	pintoi
JN813916	pintoi
JN813915	pintoi
JN813914	pintoi
JN813913	pintoi
FJ889503	scheffleri
FJ889502	scheffleri
FJ889501	scheffleri
FJ889500	scheffleri
FJ889499	scheffleri
